OPR Job Code,OPR Job Title,OPR Job Rating,OPR Field Code,OPR Field Title,OPR Field Rating,Soc Code,ONET SOC 2018 Title,ONET SOC 2010 Code,ONET SOC 2010 Title,Census Code 1980,Census Title 1980,GSS Ratings 1989,Census Code 2010,Census Titles 2010,GSS Ratings 2012
110,Choreographer,57.29,100,ArtsDesignEntnSportsMedia,67.75,27-2032,Choreographers,27-2032.00,Choreographers,193,Dancers,53.49,NA,NA,NA
111,Coach and/or Scout,55.72,100,ArtsDesignEntnSportsMedia,67.75,27-2022,Coaches and Scouts,27-2022.00,Coaches and Scouts,175,Recreation Workers,38.06,NA,NA,NA
112,Commercial and/or Industrial Designers,65.44,100,ArtsDesignEntnSportsMedia,67.75,27-1021,Commercial and Industrial Designers,27-1021.00,Commercial and Industrial Designers,185,Designers,46.53,NA,NA,NA
113,Copy Writer,51.46,100,ArtsDesignEntnSportsMedia,67.75,27-3043,Writers and Authors,27-3043.04,Copy Writers,183,Authors,63.05,NA,NA,NA
114,Craft Artist,47.02,100,ArtsDesignEntnSportsMedia,67.75,27-1012,Craft Artists,27-1012.00,Craft Artists,188,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",52.38,NA,NA,NA
115,Curator,65.74,100,ArtsDesignEntnSportsMedia,67.75,25-4012,Curators,25-4012.00,Curators,165,Archivists and Curators,52.04,NA,NA,NA
116,Dancer,51.47,100,ArtsDesignEntnSportsMedia,67.75,27-2031,Dancers,27-2031.00,Dancers,193,Dancers,53.49,2740,Dancers and choreographers,4.9
117,"Director - Stage, Motion Pictures, Television and/or Radio",74.35,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",187,Actors and Directors,57.62,NA,NA,NA
118,Editor,60.51,100,ArtsDesignEntnSportsMedia,67.75,27-3041,Editors,27-3041.00,Editors,195,Editors and Reporters,59.75,2830,Editors,5.05
119,Essayist,54.41,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,183,Authors,63.05,NA,NA,NA
120,Fashion Designer,67.32,100,ArtsDesignEntnSportsMedia,67.75,27-1022,Fashion Designers,27-1022.00,Fashion Designers,185,Designers,46.53,NA,NA,NA
121,Film and Video Editor,61.76,100,ArtsDesignEntnSportsMedia,67.75,27-4032,Film and Video Editors,27-4032.00,Film and Video Editors,195,Editors and Reporters,59.75,NA,NA,NA
122,Floral Designer,43.03,100,ArtsDesignEntnSportsMedia,67.75,27-1023,Floral Designers,27-1023.00,Floral Designers,185,Designers,46.53,NA,NA,NA
123,Graphic Designer,62.36,100,ArtsDesignEntnSportsMedia,67.75,27-1024,Graphic Designers,27-1024.00,Graphic Designers,185,Designers,46.53,NA,NA,NA
124,Illustrator,59.13,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,194,"Artists, Performers, and Related Workers, n.e.c.",35.55,NA,NA,NA
125,Interior Designer,59.41,100,ArtsDesignEntnSportsMedia,67.75,27-1025,Interior Designers,27-1025.00,Interior Designers,185,Designers,46.53,NA,NA,NA
126,Interpreter and/or Translator,58.01,100,ArtsDesignEntnSportsMedia,67.75,27-3091,Interpreters and Translators,27-3091.00,Interpreters and Translators,194,"Artists, Performers, and Related Workers, n.e.c.",35.55,NA,NA,NA
127,Media and Communication Equipment Worker,49.77,100,ArtsDesignEntnSportsMedia,67.75,27-4015,Lighting Technicians,27-4099.00,"Media and Communication Equipment Workers, All Other",777,"Miscellaneous and Not Specified Machine Operators, n.e.c…",29.86,2960,"Media and communication equipment workers, all other",4.4
127,Media and Communication Equipment Worker,49.77,100,ArtsDesignEntnSportsMedia,67.75,27-4099,"Media and Communication Equipment Workers, All Other",27-4099.00,"Media and Communication Equipment Workers, All Other",777,"Miscellaneous and Not Specified Machine Operators, n.e.c…",29.86,2960,NA,NA
128,Merchandising,33.53,100,ArtsDesignEntnSportsMedia,67.75,27-1026,Merchandise Displayers and Window Trimmers,27-1026.00,Merchandise Displayers and Window Trimmers,256,Advertising and Related Sales Occupations,39.29,NA,NA,NA
129,Multi-Media Artist and/or Animator,64.74,100,ArtsDesignEntnSportsMedia,67.75,27-1014,Special Effects Artists and Animators,27-1014.00,Multimedia Artists and Animators,194,"Artists, Performers, and Related Workers, n.e.c.",35.55,NA,NA,NA
130,Music Director and/or Composer,68.28,100,ArtsDesignEntnSportsMedia,67.75,27-2041,Music Directors and Composers,27-2041.00,Music Directors and Composers,186,Musicians and Composers,46.56,2750,"Musicians, singers, and related workers",5.1
130,Music Director and/or Composer,68.28,100,ArtsDesignEntnSportsMedia,67.75,27-2041,Music Directors and Composers,27-2041.01,Music Directors,186,Musicians and Composers,46.56,NA,NA,NA
130,Music Director and/or Composer,68.28,100,ArtsDesignEntnSportsMedia,67.75,27-2041,Music Directors and Composers,27-2041.04,Music Composers and Arrangers,186,Musicians and Composers,46.56,NA,NA,NA
131,Musician and/or Singer,67.07,100,ArtsDesignEntnSportsMedia,67.75,27-2042,Musicians and Singers,27-2042.00,Musicians and Singers,186,Musicians and Composers,46.56,NA,NA,NA
131,Musician and/or Singer,67.07,100,ArtsDesignEntnSportsMedia,67.75,27-2042,Musicians and Singers,27-2042.02,"Musicians, Instrumental",186,Musicians and Composers,46.56,NA,NA,NA
132140124,NA,NA,NA,NA,NA,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustr…",27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustr…",NA,NA,NA,NA,NA,NA
132,Painter,37.58,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,188,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",52.38,NA,NA,NA
133,Photographer,54.56,100,ArtsDesignEntnSportsMedia,67.75,27-4021,Photographers,27-4021.00,Photographers,189,Photographers,45.11,2910,Photographers,4.8
134,Poet,51.05,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,183,Authors,63.05,NA,NA,NA
134143119149151,NA,NA,NA,NA,NA,27-3043,Writers and Authors,27-3043.05,"Poets, Lyricists and Creative Writers",NA,NA,NA,NA,NA,NA
135,Producer and/or Director,74.5,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.00,Producers and Directors,187,Actors and Directors,57.62,2710,Producers and directors,5.6
135,Producer and/or Director,74.5,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.01,Producers,187,Actors and Directors,57.62,NA,NA,NA
136,Program Director,63.92,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.03,Program Directors,187,Actors and Directors,57.62,NA,NA,NA
137,Public Relations Specialist,57.72,100,ArtsDesignEntnSportsMedia,67.75,27-3031,Public Relations Specialists,27-3031.00,Public Relations Specialists,197,Public Relations Specialists,47.52,2825,Public relations specialists,4.65
138,Radio Operator,47.41,100,ArtsDesignEntnSportsMedia,67.75,43-2099,"Communications Equipment Operators, All Other",27-4013.00,Radio Operators,228,Broadcast Equipment Operators,42.83,NA,NA,NA
139,Reporter and/or Correspondent,58.74,100,ArtsDesignEntnSportsMedia,67.75,27-3023,"News Analysts, Reporters, and Journalists",27-3022.00,Reporters and Correspondents,195,Editors and Reporters,59.75,NA,NA,NA
140,Sculptor,59.66,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,188,"Painters, Sculptors, Craft-Artists, and Artist Printmake…",52.38,NA,NA,NA
141,Set and/or Exhibit Designer,54.57,100,ArtsDesignEntnSportsMedia,67.75,27-1027,Set and Exhibit Designers,27-1027.00,Set and Exhibit Designers,185,Designers,46.53,NA,NA,NA
142,Singer,68.23,100,ArtsDesignEntnSportsMedia,67.75,27-2042,Musicians and Singers,27-2042.01,Singers,186,Musicians and Composers,46.56,NA,NA,NA
143,Songwriter and/or Lyricist,62.07,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,186,Musicians and Composers,46.56,NA,NA,NA
144,Sound Engineering Technician,61.14,100,ArtsDesignEntnSportsMedia,67.75,27-4014,Sound Engineering Technicians,27-4014.00,Sound Engineering Technicians,235,"Technicians, n.e.c.",40.85,NA,NA,NA
145,Talent Director,58.28,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.04,Talent Directors,187,Actors and Directors,57.62,NA,NA,NA
146,Technical Director and/or Manager,63.18,100,ArtsDesignEntnSportsMedia,67.75,27-2012,Producers and Directors,27-2012.05,Technical Directors/Managers,187,Actors and Directors,57.62,NA,NA,NA
147,Technical Writer,53.65,100,ArtsDesignEntnSportsMedia,67.75,27-3042,Technical Writers,27-3042.00,Technical Writers,184,Technical Writers,54.31,2840,Technical writers,5.4
148,"Umpire, Referee, and/or Other Sports Official",50.2,100,ArtsDesignEntnSportsMedia,67.75,27-2023,"Umpires, Referees, and Other Sports Officials",27-2023.00,"Umpires, Referees, and Other Sports Officials",37,"Management Related Occupations, n.e.c.",48.72,NA,NA,NA
149,Writer,70,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,183,Authors,63.05,NA,NA,NA
150,Other - Artist,51.68,100,ArtsDesignEntnSportsMedia,67.75,27-1019,"Artists and Related Workers, All Other",27-1019.00,"Artists and Related Workers, All Other",194,"Artists, Performers, and Related Workers, n.e.c.",35.55,2600,Artists and related workers,4.7
151,Other - Creative Writer,57.81,100,ArtsDesignEntnSportsMedia,67.75,NA,NA,NA,NA,183,Authors,63.05,NA,NA,NA
152,Other - Designer,59.9,100,ArtsDesignEntnSportsMedia,67.75,27-1029,"Designers, All Other",27-1029.00,"Designers, All Other",185,Designers,46.53,2630,Designers,4.73
153,Other - Entertainer and/or Performer,69.23,100,ArtsDesignEntnSportsMedia,67.75,27-2091,"Disc Jockeys, Except Radio",27-2099.00,"Entertainers and Performers, Sports and Related Workers,…",194,"Artists, Performers, and Related Workers, n.e.c.",35.55,2760,"Entertainers and performers, sports and related workers, all other",2.6
153,Other - Entertainer and/or Performer,69.23,100,ArtsDesignEntnSportsMedia,67.75,27-2099,"Entertainers and Performers, Sports and Related Workers,…",27-2099.00,"Entertainers and Performers, Sports and Related Workers,…",194,"Artists, Performers, and Related Workers, n.e.c.",35.55,2760,NA,NA
154,Other - Media Related Worker,56.06,100,ArtsDesignEntnSportsMedia,67.75,27-3099,"Media and Communication Workers, All Other",27-3099.00,"Media and Communication Workers, All Other",228,Broadcast Equipment Operators,42.83,2860,Miscellaneous media and communication workers,5.5
201,Janitor and/or Cleaner (except Maid and/or Housekeeping Cleaner),23.62,200,BldgGroundsCleaningMntnce,24.22,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cle…",37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cle…",453,Janitors and Cleaners,22.33,NA,NA,NA
202,Landscaping and/or Groundskeeping Worker,29.55,200,BldgGroundsCleaningMntnce,24.22,37-3011,Landscaping and Groundskeeping Workers,37-3011.00,Landscaping and Groundskeeping Workers,486,"Groundskeepers and Gardeners, Except Farm",28.57,NA,NA,NA
203,Maid and/or Housekeeping Cleaner,22.66,200,BldgGroundsCleaningMntnce,24.22,37-2012,Maids and Housekeeping Cleaners,37-2012.00,Maids and Housekeeping Cleaners,449,Maids and Housemen,20.05,4230,Maids and housekeeping cleaners,3.07
204,Pest Control Worker,33.04,200,BldgGroundsCleaningMntnce,24.22,37-2021,Pest Control Workers,37-2021.00,Pest Control Workers,455,Pest Control Occupations,32.34,4240,Pest control workers,3.9
205,"Pesticide Handler, Sprayer, and/or Applicator",31.7,200,BldgGroundsCleaningMntnce,24.22,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetatio…",37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetatio…",486,"Groundskeepers and Gardeners, Except Farm",28.57,NA,NA,NA
206,Supervisor/Manager of Housekeeping and Janitorial Workers,37.15,200,BldgGroundsCleaningMntnce,24.22,37-1011,First-Line Supervisors of Housekeeping and Janitorial Wo…,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Wo…,448,"Supervisors, Cleaning and Building Service Workers",35.62,4200,First-line supervisors of housekeeping and janitorial workers,4
207,"Supervisor/Manager of Landscaping, Lawn Service, and Groundskeeping Workers",44.18,200,BldgGroundsCleaningMntnce,24.22,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and…",37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and…",485,"Supervisors, Related Agricultural Occupations",36.1,4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3.9
208,Tree Trimmer and/or Pruner,32.12,200,BldgGroundsCleaningMntnce,24.22,37-3013,Tree Trimmers and Pruners,37-3013.00,Tree Trimmers and Pruners,486,"Groundskeepers and Gardeners, Except Farm",28.57,NA,NA,NA
209,Other - Building Cleaning Worker,21.33,200,BldgGroundsCleaningMntnce,24.22,37-2019,"Building Cleaning Workers, All Other",37-2019.00,"Building Cleaning Workers, All Other",453,Janitors and Cleaners,22.33,4220,Janitors and building cleaners,3
210,Other - Grounds Maintenance Worker,28.27,200,BldgGroundsCleaningMntnce,24.22,37-3019,"Grounds Maintenance Workers, All Other",37-3019.00,"Grounds Maintenance Workers, All Other",486,"Groundskeepers and Gardeners, Except Farm",28.57,4250,Grounds maintenance workers,4
301,Accountant,62.78,300,BusinFinanOperations,67.1,13-2011,Accountants and Auditors,13-2011.01,Accountants,23,Accountants and Auditors,65.38,NA,NA,NA
301304,NA,NA,NA,NA,NA,13-2011,Accountants and Auditors,13-2011.00,Accountants and Auditors,NA,NA,NA,800,Accountants and auditors,5.7
302,"Agent and/or Business Manager of Artists, Performers, and Athletes",65.64,300,BusinFinanOperations,67.1,13-1011,"Agents and Business Managers of Artists, Performers, and…",13-1011.00,"Agents and Business Managers of Artists, Performers, and…",34,Business and Promotion Agents,51.43,500,"Agents and business managers of artists, performers, and athletes",4.6
303,Appraiser and/or Assessor,53.53,300,BusinFinanOperations,67.1,13-2022,Appraisers of Personal and Business Property,13-2021.00,Appraisers and Assessors of Real Estate,254,Real Estate Sales Occupations,48.82,810,Appraisers and assessors of real estate,5.4
303,Appraiser and/or Assessor,53.53,300,BusinFinanOperations,67.1,13-2023,Appraisers and Assessors of Real Estate,13-2021.00,Appraisers and Assessors of Real Estate,254,Real Estate Sales Occupations,48.82,810,NA,NA
303,Appraiser and/or Assessor,53.53,300,BusinFinanOperations,67.1,13-2022,Appraisers of Personal and Business Property,13-2021.01,Assessors,254,Real Estate Sales Occupations,48.82,NA,NA,NA
303,Appraiser and/or Assessor,53.53,300,BusinFinanOperations,67.1,13-2023,Appraisers and Assessors of Real Estate,13-2021.02,"Appraisers, Real Estate",254,Real Estate Sales Occupations,48.82,NA,NA,NA
304,Auditor,60.05,300,BusinFinanOperations,67.1,13-2011,Accountants and Auditors,13-2011.02,Auditors,23,Accountants and Auditors,65.38,NA,NA,NA
305,Budget Analyst,59.01,300,BusinFinanOperations,67.1,13-2031,Budget Analysts,13-2031.00,Budget Analysts,40,Professional Specialty Occupations ,64.38,820,Budget analysts,5.15
306,Business Continuity Planner,63.46,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.04,Business Continuity Planners,40,Professional Specialty Occupations ,64.38,NA,NA,NA
307,Business Operations Specialist,57.48,300,BusinFinanOperations,67.1,13-1082,Project Management Specialists,13-1199.00,"Business Operations Specialists, All Other",40,Professional Specialty Occupations ,64.38,740,"Business operations specialists, all other",3.6
307,Business Operations Specialist,57.48,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.00,"Business Operations Specialists, All Other",40,Professional Specialty Occupations ,64.38,740,NA,NA
308,"Claims Adjuster, Examiner, and/or Investigator",49.65,300,BusinFinanOperations,67.1,13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.00,"Claims Adjusters, Examiners, and Investigators",40,Professional Specialty Occupations ,64.38,540,"Claims adjusters, appraisers, examiners, and investigators",4.7
308,"Claims Adjuster, Examiner, and/or Investigator",49.65,300,BusinFinanOperations,67.1,13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.01,"Claims Examiners, Property and Casualty Insurance",40,Professional Specialty Occupations ,64.38,NA,NA,NA
308,"Claims Adjuster, Examiner, and/or Investigator",49.65,300,BusinFinanOperations,67.1,13-1031,"Claims Adjusters, Examiners, and Investigators",13-1031.02,"Insurance Adjusters, Examiners, and Investigators",40,Professional Specialty Occupations ,64.38,NA,NA,NA
309,"Compensation, Benefits, and/or Job Analysis Specialist",54.05,300,BusinFinanOperations,67.1,13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",40,Professional Specialty Occupations ,64.38,640,"Compensation, benefits, and job analysis specialists",5.2
310,Compliance Officer,55.76,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.00,Compliance Officers,40,Professional Specialty Occupations ,64.38,565,Compliance officers,4.75
311,Coroner,61.78,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.06,Coroners,40,Professional Specialty Occupations,64.38,NA,NA,NA
312,Cost Estimator,52.27,300,BusinFinanOperations,67.1,13-1051,Cost Estimators,13-1051.00,Cost Estimators,40,Professional Specialty Occupations ,64.38,600,Cost estimators,3.6
313,Credit Analyst,50.39,300,BusinFinanOperations,67.1,13-2041,Credit Analysts,13-2041.00,Credit Analysts,40,Professional Specialty Occupations ,64.38,830,Credit analysts,5.1
314,Customs Broker,56.34,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.03,Customs Brokers,40,Professional Specialty Occupations ,64.38,NA,NA,NA
315,Emergency Management Specialist,67.32,300,BusinFinanOperations,67.1,Nov-61,Emergency Management Directors,11-9161.00,Emergency Management Directors,40,Professional Specialty Occupations ,64.38,425,Emergency management directors,5.6
316,Employment Interviewer,42.69,300,BusinFinanOperations,67.1,43-4111,"Interviewers, Except Eligibility and Loan",43-4111.00,"Interviewers, Except Eligibility and Loan",316,Interviewers,48.79,5310,"Interviewers, except eligibility and loan",5
317,"Employment, Recruitment, and/or Placement Specialist",48.47,300,BusinFinanOperations,67.1,NA,NA,NA,NA,40,Professional Specialty Occupations ,64.38,NA,NA,NA
318,Energy Auditor,55.68,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.01,Energy Auditors,23,Accountants and Auditors,65.38,NA,NA,NA
319,Environmental Compliance Inspector,59.55,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.01,Environmental Compliance Inspectors,40,Professional Specialty Occupations ,64.38,NA,NA,NA
320,Equal Opportunity Representative and/or Officer,51.38,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.03,Equal Opportunity Representatives and Officers,40,Professional Specialty Occupations ,64.38,NA,NA,NA
321,Financial Analyst,67.31,300,BusinFinanOperations,67.1,13-2051,Financial and Investment Analysts,13-2051.00,Financial Analysts,40,Professional Specialty Occupations ,64.38,840,Financial analysts,5.6
321,Financial Analyst,67.31,300,BusinFinanOperations,67.1,13-2054,Financial Risk Specialists,13-2051.00,Financial Analysts,40,Professional Specialty Occupations ,64.38,840,NA,NA
322,Financial Examiner,63.2,300,BusinFinanOperations,67.1,13-2061,Financial Examiners,13-2061.00,Financial Examiners,40,Professional Specialty Occupations ,64.38,900,Financial examiners,5.3
323,Financial Quantitative Analyst,68.45,300,BusinFinanOperations,67.1,13-2099,"Financial Specialists, All Other",13-2099.01,Financial Quantitative Analysts,40,Professional Specialty Occupations ,64.38,NA,NA,NA
324,"Fraud Examiner, Investigator and/or Analyst",58.68,300,BusinFinanOperations,67.1,13-2099,"Financial Specialists, All Other",13-2099.04,"Fraud Examiners, Investigators and Analysts",40,Professional Specialty Occupations ,64.38,NA,NA,NA
325,Government Property Inspector and/or Investigator,54.55,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.04,Government Property Inspectors and Investigators,40,Professional Specialty Occupations ,64.38,NA,NA,NA
326,Human Resources and/or Training,49,300,BusinFinanOperations,67.1,13-1071,Human Resources Specialists,13-1071.00,Human Resources Specialists,40,Professional Specialty Occupations ,64.38,630,Human resources workers,4.73
327,Insurance Appraiser and/or Adjuster,44.25,300,BusinFinanOperations,67.1,13-1032,"Insurance Appraisers, Auto Damage",13-1032.00,"Insurance Appraisers, Auto Damage",40,Professional Specialty Occupations ,64.38,NA,NA,NA
328,Insurance Underwriter,46.77,300,BusinFinanOperations,67.1,13-2053,Insurance Underwriters,13-2053.00,Insurance Underwriters,24,Underwriters,48.4,860,Insurance underwriters,4.5
329,Investment Underwriter,59.49,300,BusinFinanOperations,67.1,13-2099,"Financial Specialists, All Other",13-2099.03,Investment Underwriters,24,Underwriters,48.4,NA,NA,NA
330,Labor Relations Specialist,52.7,300,BusinFinanOperations,67.1,13-1075,Labor Relations Specialists,13-1075.00,Labor Relations Specialists,40,Professional Specialty Occupations ,64.38,NA,NA,NA
331,Licensing Examiner and/or Inspector,50.63,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.02,Licensing Examiners and Inspectors,40,Professional Specialty Occupations ,64.38,NA,NA,NA
332,Loan Counselor,46.19,300,BusinFinanOperations,67.1,13-2071,Credit Counselors,13-2071.00,Credit Counselors,40,Professional Specialty Occupations ,64.38,910,Credit counselors and loan officers,4.65
332,Loan Counselor,46.19,300,BusinFinanOperations,67.1,13-2071,Credit Counselors,13-2071.01,Loan Counselors,40,Professional Specialty Occupations ,64.38,NA,NA,NA
333,Loan Officer,49.32,300,BusinFinanOperations,67.1,13-2072,Loan Officers,13-2072.00,Loan Officers,40,Professional Specialty Occupations ,64.38,NA,NA,NA
334,Logistician,58.91,300,BusinFinanOperations,67.1,13-1081,Logisticians,13-1081.00,Logisticians,40,Professional Specialty Occupations ,64.38,700,Logisticians,5
335,Logistics Analyst and/or Engineer,68.64,300,BusinFinanOperations,67.1,13-1081,Logisticians,13-1081.01,Logistics Engineers,40,Professional Specialty Occupations ,64.38,NA,NA,NA
335,Logistics Analyst and/or Engineer,68.64,300,BusinFinanOperations,67.1,13-1081,Logisticians,13-1081.02,Logistics Analysts,40,Professional Specialty Occupations ,64.38,NA,NA,NA
336,Management Analyst,62.37,300,BusinFinanOperations,67.1,13-1111,Management Analysts,13-1111.00,Management Analysts,26,Management Analysts,60.65,710,Management analysts,5
337,Meeting and Convention Planner,49.3,300,BusinFinanOperations,67.1,13-1121,"Meeting, Convention, and Event Planners",13-1121.00,"Meeting, Convention, and Event Planners",40,Professional Specialty Occupations ,64.38,725,"Meeting, convention, and event planners",4.85
338,Personal Financial Advisor,62.71,300,BusinFinanOperations,67.1,13-2052,Personal Financial Advisors,13-2052.00,Personal Financial Advisors,40,Professional Specialty Occupations ,64.38,850,Personal financial advisors,6
339,Personnel Recruiter,49.69,300,BusinFinanOperations,67.1,NA,NA,NA,NA,40,Professional Specialty Occupations ,64.38,NA,NA,NA
340,Purchasing Agent and/or Buyer,44.18,300,BusinFinanOperations,67.1,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Pr…",13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Pr…",40,Professional Specialty Occupations ,64.38,530,"Purchasing agents, except wholesale, retail, and farm products",4.4
341,Regulatory Affairs Specialist,56.99,300,BusinFinanOperations,67.1,13-1041,Compliance Officers,13-1041.07,Regulatory Affairs Specialists,40,Professional Specialty Occupations ,64.38,NA,NA,NA
342,Risk Management Specialist,60.19,300,BusinFinanOperations,67.1,13-2054,Financial Risk Specialists,13-2099.02,Risk Management Specialists,40,Professional Specialty Occupations ,64.38,NA,NA,NA
343,Security Management Specialist,60.45,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.02,Security Management Specialists,40,Professional Specialty Occupations ,64.38,NA,NA,NA
344,Sustainability Specialist,60.75,300,BusinFinanOperations,67.1,13-1199,"Business Operations Specialists, All Other",13-1199.05,Sustainability Specialists,40,Professional Specialty Occupations ,64.38,NA,NA,NA
345,"Tax Examiner, Collector, and/or Revenue Agent",47.34,300,BusinFinanOperations,67.1,13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",40,Professional Specialty Occupations ,64.38,930,"Tax examiners and collectors, and revenue agents",4.1
346,Tax Preparer,50.5,300,BusinFinanOperations,67.1,13-2082,Tax Preparers,13-2082.00,Tax Preparers,40,Professional Specialty Occupations ,64.38,940,Tax preparers,5.1
347,Training and Development Specialist,56.72,300,BusinFinanOperations,67.1,13-1151,Training and Development Specialists,13-1151.00,Training and Development Specialists,40,Professional Specialty Occupations ,64.38,650,Training and development specialists,5.2
348,Wholesale and/or Retail Buyer,49.83,300,BusinFinanOperations,67.1,13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",40,Professional Specialty Occupations ,64.38,520,"Wholesale and retail buyers, except farm products",4.55
349,Other - Financial Specialist,64.67,300,BusinFinanOperations,67.1,13-2054,Financial Risk Specialists,13-2099.00,"Financial Specialists, All Other",40,Professional Specialty Occupations ,64.38,950,"Financial specialists, all other",4.2
349,Other - Financial Specialist,64.67,300,BusinFinanOperations,67.1,13-2099,"Financial Specialists, All Other",13-2099.00,"Financial Specialists, All Other",40,Professional Specialty Occupations ,64.38,950,NA,NA
350,Other - Business Worker,57.52,300,BusinFinanOperations,67.1,NA,NA,NA,NA,274,"Sales Workers, Other Commodities",32.03,NA,NA,NA
